ShapeBeforeBreaking,ShapeAfter,Location
STAR,TINY,cassandra/scc-sdsm/break/86
OTHER,TINY,cassandra/scc-sdsm/break/72
STAR,STAR,cassandra/scc-sdsm/break/126
OTHER,OTHER,cassandra/scc-sdsm/break/44
OTHER,CIRCLE,cassandra/scc-sdsm/break/110
CIRCLE,NoSCCAfter,cassandra/scc-sdsm/break/43
TINY,NoSCCAfter,cassandra/scc-sdsm/break/128
STAR,STAR,cassandra/scc-sdsm/break/88
STAR,STAR,cassandra/scc-sdsm/break/117
STAR,TINY,cassandra/scc-sdsm/break/198
TINY,NoSCCAfter,cassandra/scc-sdsm/break/153
STAR,TINY,cassandra/scc-sdsm/break/38
OTHER,OTHER,cassandra/scc-sdsm/break/154
OTHER,NoSCCAfter,cassandra/scc-sdsm/break/36
TINY,NoSCCAfter,cassandra/scc-sdsm/break/196
CIRCLE,STAR,cassandra/scc-sdsm/break/162
TINY,OTHER,cassandra/scc-sdsm/break/31
STAR,CLIQUE,cassandra/scc-sdsm/break/165
OTHER,OTHER,cassandra/scc-sdsm/break/191
TINY,NoSCCAfter,cassandra/scc-sdsm/break/131
TINY,NoSCCAfter,cassandra/scc-sdsm/break/91
CIRCLE,TINY,cassandra/scc-sdsm/break/65
OTHER,OTHER,cassandra/scc-sdsm/break/136
OTHER,STAR,cassandra/scc-sdsm/break/62
STAR,TINY,cassandra/scc-sdsm/break/96
OTHER,OTHER,cassandra/scc-sdsm/break/109
TINY,NoSCCAfter,cassandra/scc-sdsm/break/100
CIRCLE,TINY,cassandra/scc-sdsm/break/54
OTHER,OTHER,cassandra/scc-sdsm/break/107
CIRCLE,CIRCLE,cassandra/scc-sdsm/break/98
OTHER,OTHER,cassandra/scc-sdsm/break/138
TINY,NoSCCAfter,cassandra/scc-sdsm/break/53
OTHER,TINY,cassandra/scc-sdsm/break/30
STAR,TINY,cassandra/scc-sdsm/break/190
TINY,NoSCCAfter,cassandra/scc-sdsm/break/164
OTHER,CIRCLE,cassandra/scc-sdsm/break/37
CIRCLE,TINY,cassandra/scc-sdsm/break/163
OTHER,TINY,cassandra/scc-sdsm/break/197
OTHER,OTHER,cassandra/scc-sdsm/break/155
TINY,NoSCCAfter,cassandra/scc-sdsm/break/199
TINY,NoSCCAfter,cassandra/scc-sdsm/break/39
OTHER,OTHER,cassandra/scc-sdsm/break/152
STAR,TINY,cassandra/scc-sdsm/break/106
OTHER,CIRCLE,cassandra/scc-sdsm/break/99
OTHER,OTHER,cassandra/scc-sdsm/break/52
CIRCLE,CIRCLE,cassandra/scc-sdsm/break/139
STAR,STAR,cassandra/scc-sdsm/break/101
TINY,NoSCCAfter,cassandra/scc-sdsm/break/55
OTHER,OTHER,cassandra/scc-sdsm/break/137
STAR,TINY,cassandra/scc-sdsm/break/97
TINY,NoSCCAfter,cassandra/scc-sdsm/break/108
CIRCLE,CIRCLE,cassandra/scc-sdsm/break/63
OTHER,OTHER,cassandra/scc-sdsm/break/130
OTHER,OTHER,cassandra/scc-sdsm/break/64
OTHER,OTHER,cassandra/scc-sdsm/break/90
CIRCLE,NoSCCAfter,cassandra/scc-sdsm/break/248
STAR,TINY,cassandra/scc-sdsm/break/241
OTHER,OTHER,cassandra/scc-sdsm/break/246
OTHER,OTHER,cassandra/scc-sdsm/break/212
TINY,NoSCCAfter,cassandra/scc-sdsm/break/215
OTHER,OTHER,cassandra/scc-sdsm/break/223
OTHER,CIRCLE,cassandra/scc-sdsm/break/224
TINY,NoSCCAfter,cassandra/scc-sdsm/break/247
OTHER,OTHER,cassandra/scc-sdsm/break/240
OTHER,OTHER,cassandra/scc-sdsm/break/249
STAR,CLIQUE,cassandra/scc-sdsm/break/225
OTHER,OTHER,cassandra/scc-sdsm/break/222
OTHER,OTHER,cassandra/scc-sdsm/break/214
STAR,STAR,cassandra/scc-sdsm/break/213
OTHER,OTHER,cassandra/scc-sdsm/break/231
STAR,STAR,cassandra/scc-sdsm/break/209
OTHER,OTHER,cassandra/scc-sdsm/break/236
OTHER,OTHER,cassandra/scc-sdsm/break/200
OTHER,OTHER,cassandra/scc-sdsm/break/238
OTHER,OTHER,cassandra/scc-sdsm/break/207
OTHER,OTHER,cassandra/scc-sdsm/break/253
OTHER,OTHER,cassandra/scc-sdsm/break/254
TINY,NoSCCAfter,cassandra/scc-sdsm/break/239
TINY,TINY,cassandra/scc-sdsm/break/206
OTHER,NoSCCAfter,cassandra/scc-sdsm/break/201
STAR,TINY,cassandra/scc-sdsm/break/208
OTHER,CIRCLE,cassandra/scc-sdsm/break/237
OTHER,OTHER,cassandra/scc-sdsm/break/230
OTHER,OTHER,cassandra/scc-sdsm/break/252
OTHER,OTHER,cassandra/scc-sdsm/break/46
CIRCLE,CIRCLE,cassandra/scc-sdsm/break/79
CIRCLE,TINY,cassandra/scc-sdsm/break/112
OTHER,OTHER,cassandra/scc-sdsm/break/41
OTHER,OTHER,cassandra/scc-sdsm/break/115
OTHER,STAR,cassandra/scc-sdsm/break/83
STAR,NoSCCAfter,cassandra/scc-sdsm/break/77
STAR,TINY,cassandra/scc-sdsm/break/123
CHAIN,CHAIN,cassandra/scc-sdsm/break/48
OTHER,OTHER,cassandra/scc-sdsm/break/70
STAR,OTHER,cassandra/scc-sdsm/break/84
OTHER,OTHER,cassandra/scc-sdsm/break/124
STAR,STAR,cassandra/scc-sdsm/break/184
CIRCLE,CIRCLE,cassandra/scc-sdsm/break/170
OTHER,OTHER,cassandra/scc-sdsm/break/24
STAR,STAR,cassandra/scc-sdsm/break/177
OTHER,OTHER,cassandra/scc-sdsm/break/183
TINY,NoSCCAfter,cassandra/scc-sdsm/break/148
TINY,NoSCCAfter,cassandra/scc-sdsm/break/23
OTHER,STAR,cassandra/scc-sdsm/break/141
OTHER,OTHER,cassandra/scc-sdsm/break/4
TINY,NoSCCAfter,cassandra/scc-sdsm/break/15
CIRCLE,TINY,cassandra/scc-sdsm/break/3
CIRCLE,CIRCLE,cassandra/scc-sdsm/break/146
STAR,NoSCCAfter,cassandra/scc-sdsm/break/12
TINY,NoSCCAfter,cassandra/scc-sdsm/break/179
TINY,NoSCCAfter,cassandra/scc-sdsm/break/85
OTHER,CIRCLE,cassandra/scc-sdsm/break/71
TINY,TINY,cassandra/scc-sdsm/break/125
OTHER,STAR,cassandra/scc-sdsm/break/76
OTHER,OTHER,cassandra/scc-sdsm/break/82
STAR,OTHER,cassandra/scc-sdsm/break/49
OTHER,CIRCLE,cassandra/scc-sdsm/break/122
CIRCLE,STAR,cassandra/scc-sdsm/break/40
CIRCLE,OTHER,cassandra/scc-sdsm/break/114
TINY,NoSCCAfter,cassandra/scc-sdsm/break/47
OTHER,STAR,cassandra/scc-sdsm/break/113
OTHER,OTHER,cassandra/scc-sdsm/break/78
CIRCLE,TINY,cassandra/scc-sdsm/break/147
CIRCLE,STAR,cassandra/scc-sdsm/break/2
TINY,NoSCCAfter,cassandra/scc-sdsm/break/178
CIRCLE,NoSCCAfter,cassandra/scc-sdsm/break/13
CIRCLE,TINY,cassandra/scc-sdsm/break/5
OTHER,CIRCLE,cassandra/scc-sdsm/break/140
OTHER,OTHER,cassandra/scc-sdsm/break/14
TINY,NoSCCAfter,cassandra/scc-sdsm/break/182
TINY,NoSCCAfter,cassandra/scc-sdsm/break/176
OTHER,OTHER,cassandra/scc-sdsm/break/22
STAR,STAR,cassandra/scc-sdsm/break/149
OTHER,OTHER,cassandra/scc-sdsm/break/171
CIRCLE,TINY,cassandra/scc-sdsm/break/185
STAR,NoSCCAfter,cassandra/scc-sdsm/break/25
OTHER,OTHER,hbase/scc-sdsm/break/135
OTHER,OTHER,hbase/scc-sdsm/break/61
OTHER,OTHER,hbase/scc-sdsm/break/95
TINY,NoSCCAfter,hbase/scc-sdsm/break/132
OTHER,NoSCCAfter,hbase/scc-sdsm/break/59
TINY,OTHER,hbase/scc-sdsm/break/92
TINY,NoSCCAfter,hbase/scc-sdsm/break/66
TINY,NoSCCAfter,hbase/scc-sdsm/break/104
CIRCLE,NoSCCAfter,hbase/scc-sdsm/break/50
TINY,NoSCCAfter,hbase/scc-sdsm/break/68
CIRCLE,TINY,hbase/scc-sdsm/break/103
TINY,NoSCCAfter,hbase/scc-sdsm/break/57
TINY,NoSCCAfter,hbase/scc-sdsm/break/168
STAR,TINY,hbase/scc-sdsm/break/157
TINY,NoSCCAfter,hbase/scc-sdsm/break/150
OTHER,OTHER,hbase/scc-sdsm/break/159
STAR,TINY,hbase/scc-sdsm/break/32
TINY,NoSCCAfter,hbase/scc-sdsm/break/166
TINY,NoSCCAfter,hbase/scc-sdsm/break/35
TINY,NoSCCAfter,hbase/scc-sdsm/break/161
TINY,NoSCCAfter,hbase/scc-sdsm/break/102
CIRCLE,NoSCCAfter,hbase/scc-sdsm/break/69
TINY,NoSCCAfter,hbase/scc-sdsm/break/56
STAR,TINY,hbase/scc-sdsm/break/105
OTHER,OTHER,hbase/scc-sdsm/break/51
OTHER,OTHER,hbase/scc-sdsm/break/58
STAR,TINY,hbase/scc-sdsm/break/133
OTHER,OTHER,hbase/scc-sdsm/break/67
TINY,NoSCCAfter,hbase/scc-sdsm/break/93
TINY,TINY,hbase/scc-sdsm/break/134
CIRCLE,CIRCLE,hbase/scc-sdsm/break/94
TINY,NoSCCAfter,hbase/scc-sdsm/break/60
STAR,STAR,hbase/scc-sdsm/break/34
OTHER,STAR,hbase/scc-sdsm/break/160
STAR,TINY,hbase/scc-sdsm/break/33
CIRCLE,CIRCLE,hbase/scc-sdsm/break/158
CIRCLE,NoSCCAfter,hbase/scc-sdsm/break/167
TINY,NoSCCAfter,hbase/scc-sdsm/break/151
OTHER,STAR,hbase/scc-sdsm/break/169
STAR,NoSCCAfter,hbase/scc-sdsm/break/156
TINY,NoSCCAfter,hbase/scc-sdsm/break/174
STAR,STAR,hbase/scc-sdsm/break/180
CHAIN,CIRCLE,hbase/scc-sdsm/break/20
TINY,NoSCCAfter,hbase/scc-sdsm/break/18
TINY,NoSCCAfter,hbase/scc-sdsm/break/173
OTHER,TINY,hbase/scc-sdsm/break/27
OTHER,OTHER,hbase/scc-sdsm/break/9
CIRCLE,CIRCLE,hbase/scc-sdsm/break/145
STAR,TINY,hbase/scc-sdsm/break/11
OTHER,TINY,hbase/scc-sdsm/break/142
TINY,NoSCCAfter,hbase/scc-sdsm/break/7
OTHER,NoSCCAfter,hbase/scc-sdsm/break/29
STAR,TINY,hbase/scc-sdsm/break/16
TINY,TINY,hbase/scc-sdsm/break/129
STAR,TINY,hbase/scc-sdsm/break/42
TINY,NoSCCAfter,hbase/scc-sdsm/break/89
TINY,NoSCCAfter,hbase/scc-sdsm/break/116
OTHER,OTHER,hbase/scc-sdsm/break/45
OTHER,CIRCLE,hbase/scc-sdsm/break/111
TINY,TINY,hbase/scc-sdsm/break/73
TINY,NoSCCAfter,hbase/scc-sdsm/break/118
CIRCLE,STAR,hbase/scc-sdsm/break/87
TINY,NoSCCAfter,hbase/scc-sdsm/break/127
TINY,NoSCCAfter,hbase/scc-sdsm/break/80
CHAIN,STAR,hbase/scc-sdsm/break/74
STAR,OTHER,hbase/scc-sdsm/break/120
TINY,NoSCCAfter,hbase/scc-sdsm/break/6
OTHER,CIRCLE,hbase/scc-sdsm/break/28
STAR,TINY,hbase/scc-sdsm/break/143
TINY,NoSCCAfter,hbase/scc-sdsm/break/17
CIRCLE,CHAIN,hbase/scc-sdsm/break/144
TINY,STAR,hbase/scc-sdsm/break/1
TINY,NoSCCAfter,hbase/scc-sdsm/break/10
OTHER,CLIQUE,hbase/scc-sdsm/break/172
CIRCLE,OTHER,hbase/scc-sdsm/break/19
TINY,NoSCCAfter,hbase/scc-sdsm/break/26
TINY,NoSCCAfter,hbase/scc-sdsm/break/8
TINY,NoSCCAfter,hbase/scc-sdsm/break/181
TINY,NoSCCAfter,hbase/scc-sdsm/break/175
TINY,TINY,hbase/scc-sdsm/break/21
STAR,TINY,hbase/scc-sdsm/break/75
OTHER,OTHER,hbase/scc-sdsm/break/81
CIRCLE,CIRCLE,hbase/scc-sdsm/break/121
CIRCLE,TINY,hbase/scc-sdsm/break/119
TINY,NoSCCAfter,hbase/scc-sdsm/break/86
OTHER,OTHER,hbase/scc-sdsm/break/72
STAR,NoSCCAfter,hbase/scc-sdsm/break/126
TINY,NoSCCAfter,hbase/scc-sdsm/break/44
OTHER,OTHER,hbase/scc-sdsm/break/110
TINY,NoSCCAfter,hbase/scc-sdsm/break/43
STAR,NoSCCAfter,hbase/scc-sdsm/break/128
TINY,NoSCCAfter,hbase/scc-sdsm/break/88
STAR,OTHER,hbase/scc-sdsm/break/117
TINY,NoSCCAfter,hbase/scc-sdsm/break/153
TINY,NoSCCAfter,hbase/scc-sdsm/break/38
OTHER,CIRCLE,hbase/scc-sdsm/break/154
STAR,NoSCCAfter,hbase/scc-sdsm/break/36
OTHER,OTHER,hbase/scc-sdsm/break/162
OTHER,OTHER,hbase/scc-sdsm/break/31
TINY,NoSCCAfter,hbase/scc-sdsm/break/165
TINY,TINY,hbase/scc-sdsm/break/131
CIRCLE,CIRCLE,hbase/scc-sdsm/break/91
CIRCLE,TINY,hbase/scc-sdsm/break/65
CIRCLE,NoSCCAfter,hbase/scc-sdsm/break/136
STAR,TINY,hbase/scc-sdsm/break/62
OTHER,OTHER,hbase/scc-sdsm/break/96
CIRCLE,TINY,hbase/scc-sdsm/break/109
TINY,NoSCCAfter,hbase/scc-sdsm/break/100
STAR,NoSCCAfter,hbase/scc-sdsm/break/54
OTHER,TINY,hbase/scc-sdsm/break/107
TINY,NoSCCAfter,hbase/scc-sdsm/break/98
CIRCLE,TINY,hbase/scc-sdsm/break/138
TINY,OTHER,hbase/scc-sdsm/break/53
TINY,NoSCCAfter,hbase/scc-sdsm/break/30
OTHER,OTHER,hbase/scc-sdsm/break/164
TINY,NoSCCAfter,hbase/scc-sdsm/break/37
CIRCLE,OTHER,hbase/scc-sdsm/break/163
STAR,STAR,hbase/scc-sdsm/break/155
OTHER,OTHER,hbase/scc-sdsm/break/39
STAR,NoSCCAfter,hbase/scc-sdsm/break/152
OTHER,OTHER,hbase/scc-sdsm/break/106
TINY,NoSCCAfter,hbase/scc-sdsm/break/99
TINY,NoSCCAfter,hbase/scc-sdsm/break/52
TINY,NoSCCAfter,hbase/scc-sdsm/break/139
STAR,TINY,hbase/scc-sdsm/break/101
OTHER,STAR,hbase/scc-sdsm/break/55
TINY,NoSCCAfter,hbase/scc-sdsm/break/137
CIRCLE,CIRCLE,hbase/scc-sdsm/break/97
STAR,OTHER,hbase/scc-sdsm/break/108
TINY,NoSCCAfter,hbase/scc-sdsm/break/63
CIRCLE,CIRCLE,hbase/scc-sdsm/break/130
TINY,NoSCCAfter,hbase/scc-sdsm/break/64
TINY,NoSCCAfter,hbase/scc-sdsm/break/90
CIRCLE,CIRCLE,hbase/scc-sdsm/break/46
TINY,TINY,hbase/scc-sdsm/break/79
OTHER,OTHER,hbase/scc-sdsm/break/112
TINY,NoSCCAfter,hbase/scc-sdsm/break/41
CIRCLE,STAR,hbase/scc-sdsm/break/115
STAR,OTHER,hbase/scc-sdsm/break/83
CIRCLE,NoSCCAfter,hbase/scc-sdsm/break/77
OTHER,CIRCLE,hbase/scc-sdsm/break/123
STAR,NoSCCAfter,hbase/scc-sdsm/break/48
STAR,NoSCCAfter,hbase/scc-sdsm/break/70
TINY,NoSCCAfter,hbase/scc-sdsm/break/84
OTHER,TINY,hbase/scc-sdsm/break/124
STAR,OTHER,hbase/scc-sdsm/break/184
TINY,NoSCCAfter,hbase/scc-sdsm/break/170
TINY,NoSCCAfter,hbase/scc-sdsm/break/24
CIRCLE,CIRCLE,hbase/scc-sdsm/break/177
CIRCLE,STAR,hbase/scc-sdsm/break/183
TINY,NoSCCAfter,hbase/scc-sdsm/break/148
TINY,NoSCCAfter,hbase/scc-sdsm/break/23
STAR,NoSCCAfter,hbase/scc-sdsm/break/141
OTHER,OTHER,hbase/scc-sdsm/break/4
STAR,TINY,hbase/scc-sdsm/break/15
OTHER,CIRCLE,hbase/scc-sdsm/break/3
OTHER,OTHER,hbase/scc-sdsm/break/146
STAR,STAR,hbase/scc-sdsm/break/12
TINY,NoSCCAfter,hbase/scc-sdsm/break/179
OTHER,STAR,hbase/scc-sdsm/break/85
CIRCLE,CIRCLE,hbase/scc-sdsm/break/71
TINY,NoSCCAfter,hbase/scc-sdsm/break/125
STAR,NoSCCAfter,hbase/scc-sdsm/break/76
STAR,TINY,hbase/scc-sdsm/break/82
CIRCLE,CIRCLE,hbase/scc-sdsm/break/49
TINY,NoSCCAfter,hbase/scc-sdsm/break/122
TINY,NoSCCAfter,hbase/scc-sdsm/break/40
TINY,NoSCCAfter,hbase/scc-sdsm/break/114
STAR,CIRCLE,hbase/scc-sdsm/break/47
TINY,NoSCCAfter,hbase/scc-sdsm/break/113
CIRCLE,STAR,hbase/scc-sdsm/break/78
TINY,NoSCCAfter,hbase/scc-sdsm/break/147
CIRCLE,OTHER,hbase/scc-sdsm/break/2
TINY,NoSCCAfter,hbase/scc-sdsm/break/178
CIRCLE,CIRCLE,hbase/scc-sdsm/break/13
CIRCLE,CIRCLE,hbase/scc-sdsm/break/5
OTHER,OTHER,hbase/scc-sdsm/break/140
OTHER,OTHER,hbase/scc-sdsm/break/14
CHAIN,STAR,hbase/scc-sdsm/break/182
OTHER,TINY,hbase/scc-sdsm/break/176
CIRCLE,NoSCCAfter,hbase/scc-sdsm/break/22
OTHER,OTHER,hbase/scc-sdsm/break/149
CIRCLE,STAR,hbase/scc-sdsm/break/171
TINY,NoSCCAfter,hbase/scc-sdsm/break/185
OTHER,OTHER,hbase/scc-sdsm/break/25
OTHER,TINY,getdown/scc-sdsm/break/1-49a7e2821606e2c445d4081dbb946e693f842505
STAR,STAR,getdown/scc-sdsm/break/1-16b8b836e445b314f66621a0ee6d0af4235921d6
OTHER,CIRCLE,google-http-java-client/scc-sdsm/break/1-0d65a2298a2ed6999275025180116448c36b2ca6
OTHER,STAR,google-http-java-client/scc-sdsm/break/1-208fc6e27997080bea95ed37815fb69dd6dd9d81
CIRCLE,CIRCLE,google-http-java-client/scc-sdsm/break/1-80921b3e2a7aa06686ffabe887c3fbdda392871b
STAR,NoSCCAfter,google-http-java-client/scc-sdsm/break/1-6b9b6c57734c4917394d0e256e745d69b61b5517
TINY,NoSCCAfter,google-http-java-client/scc-sdsm/break/1-f16c777b234488d714b59b1cf6031e2165dfc322
TINY,TINY,google-http-java-client/scc-sdsm/break/1-10ced26c2125642b88df1702ceddf64088bf1257
TINY,TINY,google-http-java-client/scc-sdsm/break/1-c0502b070b5c2a76dec812fd7a15afeab0ed3a6b
TINY,NoSCCAfter,google-http-java-client/scc-sdsm/break/1-36280df23e07ec4a062353f20866649559143d9c
TINY,TINY,google-http-java-client/scc-sdsm/break/1-c42bc2fa5db3c4d3ae5112bbd5a2c52032978f81
OTHER,OTHER,javaparser/scc-sdsm/break/1-02b3c5e03c44a9373c3a9d323c3425bdffade688
CIRCLE,TINY,javaparser/scc-sdsm/break/1-621f1f76216a62bf1631fb337ba6c126c326a0cc
OTHER,CIRCLE,javaparser/scc-sdsm/break/1-ede6a210bcbb1844342ebcbcf6724ed9db8a2f4f
OTHER,TINY,javaparser/scc-sdsm/break/1-5000b8ce6d741aa391ad54b5f886a8c622dcdca8
CIRCLE,CIRCLE,javaparser/scc-sdsm/break/1-04c097f9c44f7beb958860d65105c0e687d34f08
OTHER,STAR,javaparser/scc-sdsm/break/1-09ceccd596e6aeebb5eca309093ef32216291f1e
OTHER,NoSCCAfter,javaparser/scc-sdsm/break/1-1cb9d1ccb081c17b45572f882af251bde3d58bd8
OTHER,OTHER,javaparser/scc-sdsm/break/1-d0348de241a6cf6be9c51500870ee1fb26172101
TINY,NoSCCAfter,javaparser/scc-sdsm/break/1-9ae1febaec3c5e23af34be61334b3ee54d359eef
OTHER,OTHER,javaparser/scc-sdsm/break/1-fb388c36c0045c50744cf215521e5c280036aa70
STAR,NoSCCAfter,javaparser/scc-sdsm/break/1-94f7ec4ddeee6b4f351420c67169e52c7abc9cc7
CIRCLE,OTHER,javaparser/scc-sdsm/break/1-bb4cc477bf4db621403caa7404008de390db96c7
OTHER,OTHER,javaparser/scc-sdsm/break/1-6d06ae94c521628da4bcd76675f3660fee8ebf76
TINY,TINY,javaparser/scc-sdsm/break/1-e405ceecdc4c3fe0c8b80688f4df4513df3ca50b
CIRCLE,CIRCLE,javaparser/scc-sdsm/break/1-b78d16501ca2398cf5352705db7d2371b39537d5
OTHER,OTHER,javaparser/scc-sdsm/break/1-0f8bbe61c2d7132846b8ad13804ae70d62c5c8bc
STAR,NoSCCAfter,javaparser/scc-sdsm/break/1-6b50c90daa764492e074198460c807d83d52325e
STAR,NoSCCAfter,javaparser/scc-sdsm/break/1-61fe50886acfa37d9063ff3fcb34432c82dede8a
OTHER,TINY,javaparser/scc-sdsm/break/1-10196f5dc50efa360bb988db3d16b3520d0587ca
CIRCLE,OTHER,javaparser/scc-sdsm/break/1-d5b5d4e1d0e12639f66285b3f9d4f35d53dd3173
OTHER,OTHER,javaparser/scc-sdsm/break/1-eed073b87617db96a0cc68de88cbcd5823d2ed38
STAR,STAR,javaparser/scc-sdsm/break/1-0dec13e714cd8f16a4533909236520b3bf71daf5
STAR,STAR,javaparser/scc-sdsm/break/1-9506a1844d5076b4edcc2b9a5bc375acf7e95c35
OTHER,OTHER,javaparser/scc-sdsm/break/1-24a58469927e0faee2d29a628467e998ed491449
OTHER,OTHER,javaparser/scc-sdsm/break/1-8e655d386a595ea1927ebeded58939d7b8a7ce0c
OTHER,OTHER,javaparser/scc-sdsm/break/1-960364fad3fc2ead6113d4c5d4b7d9ebf23e2f9a
CHAIN,STAR,javaparser/scc-sdsm/break/1-2ee6af73e7e55b41e96d587d6661aa478d519dc8
TINY,NoSCCAfter,javaparser/scc-sdsm/break/1-1adb8b4c97103ac5b15d009f3eda791a53b83d6f
OTHER,OTHER,javaparser/scc-sdsm/break/1-99747a041de849f7d2f6a1ead9d11d0bb8f6f704
TINY,NoSCCAfter,javaparser/scc-sdsm/break/1-b4c19c82e7f235b0e10fd12f2430581a10ec60eb
TINY,NoSCCAfter,javaparser/scc-sdsm/break/1-06d7e135494a216354ce31ec1711099c52a2c953
CIRCLE,CIRCLE,javaparser/scc-sdsm/break/1-cf9d3fb22dc60eaebd2afe08c8d18f8a20521f85
OTHER,OTHER,javaparser/scc-sdsm/break/1-0b43f836abee5fcdb15adbcff4619f76780b74ac
TINY,CIRCLE,javaparser/scc-sdsm/break/1-6c7162f0429bf235fc157ca081ceb992409594e0
TINY,NoSCCAfter,javaparser/scc-sdsm/break/1-7b6c27e95fef9e725fbf9e15afb852bb952dfa34
OTHER,NoSCCAfter,javaparser/scc-sdsm/break/1-bc2374c7e2c5594076fd404b70686ace004a371b
TINY,TINY,javaparser/scc-sdsm/break/1-9d8184e1a607dcfcd3733b8a40587459f2a583d1
OTHER,OTHER,javaparser/scc-sdsm/break/1-68aeb576ccb2b44e436d13d0be2660f85dc9ee4b
CIRCLE,CIRCLE,javaparser/scc-sdsm/break/1-0efa7d76b544f404f69e942ea9018fe810ac8b99
STAR,NoSCCAfter,javaparser/scc-sdsm/break/1-8a89fb0a5acf97e8836d0aaf1ba9bd723fd700c2
STAR,STAR,javaparser/scc-sdsm/break/1-be10f7278344dacb0bcc43553579b5add828f9b7
CHAIN,NoSCCAfter,javaparser/scc-sdsm/break/1-694464c8e552a3960707dbd58965866989e02a2b
CIRCLE,TINY,javaparser/scc-sdsm/break/1-8e063e8a9501b48c03999446edbdc1e83cc28236
OTHER,OTHER,javaparser/scc-sdsm/break/1-428f8a0c95eb4cf4e4f831dda0ffdf468c227f41
CIRCLE,CIRCLE,javaparser/scc-sdsm/break/1-a9aae3038ba49bf1c8795ddd522baa0d6a1aace6
OTHER,OTHER,javaparser/scc-sdsm/break/1-915bbb87897978a87e7b360be438c20cb60d7ddb
OTHER,TINY,javaparser/scc-sdsm/break/1-36bb9b09948f1d695791ed8e9a2bf6c67dc2c7fa
TINY,TINY,javaparser/scc-sdsm/break/1-42bb6d1430e4806f03c4ca999def92dbbdf6c1cc
STAR,NoSCCAfter,javaparser/scc-sdsm/break/1-0bfc6fa05859e7589652ca70f12a6811e31ba8d4
OTHER,OTHER,javaparser/scc-sdsm/break/1-bed91989f7354552d72b2b7f0c28fcbd24fee003
OTHER,OTHER,javaparser/scc-sdsm/break/1-731c46d3bd61cc1e3e4733570dd80ab00cd63c87
CIRCLE,CIRCLE,javaparser/scc-sdsm/break/1-0a68ecbf73bddc893d7f97db121691d7bac80624
OTHER,OTHER,javaparser/scc-sdsm/break/1-630eb94d43670f2080c7273584d49c0b0d4162f1
OTHER,OTHER,javaparser/scc-sdsm/break/1-3f2c603c32e17f5181fc20383539b571bcada8c0
CIRCLE,CIRCLE,javaparser/scc-sdsm/break/1-8907128c87954825abed135e781f272f67648f95
OTHER,OTHER,javaparser/scc-sdsm/break/1-2f49331fb22511346eea8800d27907de44409d5b
CIRCLE,CIRCLE,javaparser/scc-sdsm/break/1-6e27cb0fbf02039407c001523f61a79c48af307d
TINY,NoSCCAfter,javaparser/scc-sdsm/break/1-3364e5b0dfc45a578d9008524ef22ac714cc2d57
STAR,TINY,javaparser/scc-sdsm/break/1-1411f35e49208b0049c25e57986df98e0c64a907
CIRCLE,CIRCLE,javaparser/scc-sdsm/break/1-13605283ec72f752fe950d08b10a55932430d0bc
CHAIN,STAR,javaparser/scc-sdsm/break/1-a9080cf8b1b3d6b3bdf1f3a6e68b044ffc035153
OTHER,OTHER,javaparser/scc-sdsm/break/1-dcf4b43e5c2f05d22bad9567dcd98d9cdf707c82
OTHER,OTHER,javaparser/scc-sdsm/break/1-95245a501059ef998be5052adb5930d744533731
STAR,CIRCLE,javaparser/scc-sdsm/break/1-6c050d8b605714121da570382078edaa3750af4a
OTHER,OTHER,javaparser/scc-sdsm/break/1-8718d4a587fe7951b4767c6bcc52d7979d9b8795
OTHER,OTHER,javaparser/scc-sdsm/break/1-52ce3a035f37392b37e54c9c7d9b003356d77643
STAR,NoSCCAfter,javaparser/scc-sdsm/break/1-61db2ec5c6d8a2146b83bc92203c844b82d6f345
STAR,STAR,javaparser/scc-sdsm/break/1-828b957be6e70db69b7bb3f8d05343301aae9e29
STAR,CIRCLE,javaparser/scc-sdsm/break/1-263cf50ac27714b8e120565f45a1fac661df18b5
OTHER,OTHER,stripe-java/scc-sdsm/break/1-7f2b70999749eff50303f0a3b9c07abfaf087a89
OTHER,STAR,stripe-java/scc-sdsm/break/1-5d6c9bb685b6a5062eb7abbc24702ded66692706
STAR,TINY,stripe-java/scc-sdsm/break/1-d35a278dd86966b6e1e7da58537743e55c933215
CIRCLE,NoSCCAfter,stripe-java/scc-sdsm/break/1-6fea6fd7f8763b3ed6c960cffee0f6d3602400a1
OTHER,OTHER,stripe-java/scc-sdsm/break/1-7a970ab260f36721a712321632a24adc8699f10d
CIRCLE,STAR,spoon/scc-sdsm/break/2-ee1c2aeeab31beacb4b3e76703c9a492238b74fa
TINY,NoSCCAfter,spoon/scc-sdsm/break/1-f2c2a1a7c9c6dae98d27f29db2196aa3f908d7a0
OTHER,OTHER,spoon/scc-sdsm/break/1-c6d6673aa1546b42dcec850a60a75258094fa07e
OTHER,OTHER,spoon/scc-sdsm/break/1-57bd9423610d55df4404c039614de9820c40a2cd
OTHER,OTHER,spoon/scc-sdsm/break/2-42018d4e4c9b89145c765b99439ceabcfcbf721c
CIRCLE,OTHER,spoon/scc-sdsm/break/1-50a15b7c09228bdc460e9ae0119654b97576980d
TINY,TINY,spoon/scc-sdsm/break/1-ba23405733e09698d87ca4b52c6ae684476e87cc
