ShapeBeforeBreaking,ShapeAfter,Location
TINY,NoSCCAfter,wicket/scc-sdsm/break/164
TINY,TINY,wicket/scc-sdsm/break/37
OTHER,OTHER,wicket/scc-sdsm/break/163
TINY,NoSCCAfter,wicket/scc-sdsm/break/155
OTHER,OTHER,wicket/scc-sdsm/break/39
OTHER,NoSCCAfter,wicket/scc-sdsm/break/152
OTHER,CIRCLE,wicket/scc-sdsm/break/106
CIRCLE,CIRCLE,wicket/scc-sdsm/break/99
OTHER,OTHER,wicket/scc-sdsm/break/52
STAR,NoSCCAfter,wicket/scc-sdsm/break/139
CIRCLE,CHAIN,wicket/scc-sdsm/break/101
TINY,NoSCCAfter,wicket/scc-sdsm/break/55
CIRCLE,STAR,wicket/scc-sdsm/break/137
TINY,NoSCCAfter,wicket/scc-sdsm/break/97
TINY,NoSCCAfter,wicket/scc-sdsm/break/108
OTHER,STAR,wicket/scc-sdsm/break/63
TINY,NoSCCAfter,wicket/scc-sdsm/break/130
TINY,NoSCCAfter,wicket/scc-sdsm/break/64
TINY,NoSCCAfter,wicket/scc-sdsm/break/90
CIRCLE,NoSCCAfter,wicket/scc-sdsm/break/46
CLIQUE,STAR,wicket/scc-sdsm/break/79
TINY,NoSCCAfter,wicket/scc-sdsm/break/112
TINY,NoSCCAfter,wicket/scc-sdsm/break/41
STAR,TINY,wicket/scc-sdsm/break/115
STAR,TINY,wicket/scc-sdsm/break/83
TINY,NoSCCAfter,wicket/scc-sdsm/break/77
STAR,TINY,wicket/scc-sdsm/break/123
OTHER,NoSCCAfter,wicket/scc-sdsm/break/48
TINY,NoSCCAfter,wicket/scc-sdsm/break/70
OTHER,NoSCCAfter,wicket/scc-sdsm/break/84
TINY,NoSCCAfter,wicket/scc-sdsm/break/124
STAR,TINY,wicket/scc-sdsm/break/24
OTHER,CIRCLE,wicket/scc-sdsm/break/148
STAR,STAR,wicket/scc-sdsm/break/23
TINY,NoSCCAfter,wicket/scc-sdsm/break/141
CIRCLE,CIRCLE,wicket/scc-sdsm/break/4
STAR,STAR,wicket/scc-sdsm/break/15
TINY,NoSCCAfter,wicket/scc-sdsm/break/3
STAR,TINY,wicket/scc-sdsm/break/146
CIRCLE,NoSCCAfter,wicket/scc-sdsm/break/12
CIRCLE,TINY,wicket/scc-sdsm/break/85
TINY,NoSCCAfter,wicket/scc-sdsm/break/71
OTHER,CIRCLE,wicket/scc-sdsm/break/125
TINY,NoSCCAfter,wicket/scc-sdsm/break/76
OTHER,OTHER,wicket/scc-sdsm/break/82
TINY,NoSCCAfter,wicket/scc-sdsm/break/49
TINY,NoSCCAfter,wicket/scc-sdsm/break/122
TINY,NoSCCAfter,wicket/scc-sdsm/break/40
CIRCLE,STAR,wicket/scc-sdsm/break/114
CIRCLE,CIRCLE,wicket/scc-sdsm/break/47
TINY,NoSCCAfter,wicket/scc-sdsm/break/113
TINY,NoSCCAfter,wicket/scc-sdsm/break/78
TINY,TINY,wicket/scc-sdsm/break/147
TINY,NoSCCAfter,wicket/scc-sdsm/break/2
TINY,NoSCCAfter,wicket/scc-sdsm/break/13
OTHER,OTHER,wicket/scc-sdsm/break/5
TINY,NoSCCAfter,wicket/scc-sdsm/break/140
OTHER,TINY,wicket/scc-sdsm/break/14
OTHER,TINY,wicket/scc-sdsm/break/22
CIRCLE,TINY,wicket/scc-sdsm/break/149
OTHER,OTHER,wicket/scc-sdsm/break/25
STAR,TINY,pig/scc-sdsm/break/32
OTHER,OTHER,pig/scc-sdsm/break/35
OTHER,OTHER,pig/scc-sdsm/break/34
OTHER,OTHER,pig/scc-sdsm/break/33
OTHER,OTHER,pig/scc-sdsm/break/20
TINY,NoSCCAfter,pig/scc-sdsm/break/18
TINY,NoSCCAfter,pig/scc-sdsm/break/27
STAR,CIRCLE,pig/scc-sdsm/break/9
STAR,TINY,pig/scc-sdsm/break/11
TINY,NoSCCAfter,pig/scc-sdsm/break/7
CHAIN,STAR,pig/scc-sdsm/break/29
OTHER,OTHER,pig/scc-sdsm/break/16
OTHER,OTHER,pig/scc-sdsm/break/42
STAR,STAR,pig/scc-sdsm/break/6
OTHER,OTHER,pig/scc-sdsm/break/28
OTHER,OTHER,pig/scc-sdsm/break/17
CIRCLE,CIRCLE,pig/scc-sdsm/break/1
TINY,CIRCLE,pig/scc-sdsm/break/10
TINY,NoSCCAfter,pig/scc-sdsm/break/19
OTHER,OTHER,pig/scc-sdsm/break/26
TINY,STAR,pig/scc-sdsm/break/8
CIRCLE,NoSCCAfter,pig/scc-sdsm/break/21
STAR,STAR,pig/scc-sdsm/break/38
OTHER,OTHER,pig/scc-sdsm/break/36
CIRCLE,CIRCLE,pig/scc-sdsm/break/31
TINY,NoSCCAfter,pig/scc-sdsm/break/30
TINY,TINY,pig/scc-sdsm/break/37
TINY,NoSCCAfter,pig/scc-sdsm/break/39
OTHER,OTHER,pig/scc-sdsm/break/41
TINY,NoSCCAfter,pig/scc-sdsm/break/24
OTHER,NoSCCAfter,pig/scc-sdsm/break/23
OTHER,OTHER,pig/scc-sdsm/break/4
CIRCLE,CIRCLE,pig/scc-sdsm/break/15
STAR,STAR,pig/scc-sdsm/break/3
STAR,NoSCCAfter,pig/scc-sdsm/break/12
OTHER,OTHER,pig/scc-sdsm/break/40
OTHER,TINY,pig/scc-sdsm/break/2
STAR,OTHER,pig/scc-sdsm/break/13
CIRCLE,STAR,pig/scc-sdsm/break/5
STAR,CIRCLE,pig/scc-sdsm/break/14
CIRCLE,CIRCLE,pig/scc-sdsm/break/22
TINY,NoSCCAfter,pig/scc-sdsm/break/25
TINY,NoSCCAfter,derby/scc-sdsm/break/32
TINY,NoSCCAfter,derby/scc-sdsm/break/35
STAR,TINY,derby/scc-sdsm/break/34
CIRCLE,STAR,derby/scc-sdsm/break/33
TINY,NoSCCAfter,derby/scc-sdsm/break/20
TINY,NoSCCAfter,derby/scc-sdsm/break/18
OTHER,OTHER,derby/scc-sdsm/break/27
STAR,TINY,derby/scc-sdsm/break/9
OTHER,STAR,derby/scc-sdsm/break/11
TINY,NoSCCAfter,derby/scc-sdsm/break/7
TINY,NoSCCAfter,derby/scc-sdsm/break/29
TINY,NoSCCAfter,derby/scc-sdsm/break/16
STAR,STAR,derby/scc-sdsm/break/42
TINY,TINY,derby/scc-sdsm/break/6
STAR,TINY,derby/scc-sdsm/break/28
OTHER,STAR,derby/scc-sdsm/break/17
STAR,STAR,derby/scc-sdsm/break/1
OTHER,NoSCCAfter,derby/scc-sdsm/break/10
TINY,NoSCCAfter,derby/scc-sdsm/break/19
OTHER,OTHER,derby/scc-sdsm/break/26
CIRCLE,TINY,derby/scc-sdsm/break/8
CIRCLE,CIRCLE,derby/scc-sdsm/break/21
OTHER,OTHER,derby/scc-sdsm/break/44
OTHER,OTHER,derby/scc-sdsm/break/43
TINY,NoSCCAfter,derby/scc-sdsm/break/38
STAR,TINY,derby/scc-sdsm/break/36
OTHER,OTHER,derby/scc-sdsm/break/31
OTHER,CIRCLE,derby/scc-sdsm/break/30
CIRCLE,CIRCLE,derby/scc-sdsm/break/37
CIRCLE,STAR,derby/scc-sdsm/break/39
TINY,NoSCCAfter,derby/scc-sdsm/break/41
TINY,NoSCCAfter,derby/scc-sdsm/break/24
STAR,NoSCCAfter,derby/scc-sdsm/break/23
OTHER,TINY,derby/scc-sdsm/break/4
TINY,OTHER,derby/scc-sdsm/break/15
TINY,TINY,derby/scc-sdsm/break/3
TINY,NoSCCAfter,derby/scc-sdsm/break/12
OTHER,OTHER,derby/scc-sdsm/break/40
CIRCLE,TINY,derby/scc-sdsm/break/2
CIRCLE,CIRCLE,derby/scc-sdsm/break/13
CIRCLE,TINY,derby/scc-sdsm/break/5
TINY,NoSCCAfter,derby/scc-sdsm/break/14
CIRCLE,CHAIN,derby/scc-sdsm/break/22
TINY,NoSCCAfter,derby/scc-sdsm/break/25
TINY,NoSCCAfter,commons-math/scc-sdsm/break/20
TINY,NoSCCAfter,commons-math/scc-sdsm/break/18
STAR,STAR,commons-math/scc-sdsm/break/9
TINY,NoSCCAfter,commons-math/scc-sdsm/break/11
TINY,TINY,commons-math/scc-sdsm/break/7
CIRCLE,NoSCCAfter,commons-math/scc-sdsm/break/16
TINY,NoSCCAfter,commons-math/scc-sdsm/break/6
TINY,NoSCCAfter,commons-math/scc-sdsm/break/17
