ShapeBefore,ShapeAfterAggregate,Location
STAR,STAR,wicket/scc-sdsm/aggregate/245
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/242
CIRCLE,OTHER,wicket/scc-sdsm/aggregate/221
NoSCCBefore,CLIQUE,wicket/scc-sdsm/aggregate/226
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/219
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/210
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/217
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/228
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/288
OTHER,OTHER,wicket/scc-sdsm/aggregate/243
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/244
TINY,STAR,wicket/scc-sdsm/aggregate/286
STAR,OTHER,wicket/scc-sdsm/aggregate/272
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/275
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/281
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/257
NoSCCBefore,STAR,wicket/scc-sdsm/aggregate/268
OTHER,OTHER,wicket/scc-sdsm/aggregate/250
NoSCCBefore,STAR,wicket/scc-sdsm/aggregate/266
STAR,CIRCLE,wicket/scc-sdsm/aggregate/259
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/261
OTHER,OTHER,wicket/scc-sdsm/aggregate/235
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/232
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/204
STAR,STAR,wicket/scc-sdsm/aggregate/203
NoSCCBefore,CIRCLE,wicket/scc-sdsm/aggregate/260
NoSCCBefore,OTHER,wicket/scc-sdsm/aggregate/267
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/258
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/251
NoSCCBefore,STAR,wicket/scc-sdsm/aggregate/256
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/269
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/202
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/205
OTHER,OTHER,wicket/scc-sdsm/aggregate/233
TINY,CIRCLE,wicket/scc-sdsm/aggregate/234
TINY,CIRCLE,wicket/scc-sdsm/aggregate/174
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/180
TINY,STAR,wicket/scc-sdsm/aggregate/20
CLIQUE,CHAIN,wicket/scc-sdsm/aggregate/187
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/18
NoSCCBefore,CIRCLE,wicket/scc-sdsm/aggregate/173
TINY,CIRCLE,wicket/scc-sdsm/aggregate/27
CIRCLE,CIRCLE,wicket/scc-sdsm/aggregate/9
CLIQUE,OTHER,wicket/scc-sdsm/aggregate/145
STAR,OTHER,wicket/scc-sdsm/aggregate/11
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/142
STAR,STAR,wicket/scc-sdsm/aggregate/7
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/29
OTHER,OTHER,wicket/scc-sdsm/aggregate/16
TINY,CIRCLE,wicket/scc-sdsm/aggregate/189
NoSCCBefore,CIRCLE,wicket/scc-sdsm/aggregate/129
NoSCCBefore,CIRCLE,wicket/scc-sdsm/aggregate/42
NoSCCBefore,TINY,wicket/scc-sdsm/aggregate/89
OTHER,OTHER,wicket/scc-sdsm/aggregate/116
