ShapeBefore,ShapeAfterAggregate,Location
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/47
NoSCCBefore,CIRCLE,pig/scc-sdsm/aggregate/113
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/78
OTHER,OTHER,pig/scc-sdsm/aggregate/2
NoSCCBefore,STAR,pig/scc-sdsm/aggregate/13
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/5
NoSCCBefore,STAR,pig/scc-sdsm/aggregate/14
TINY,STAR,pig/scc-sdsm/aggregate/22
NoSCCBefore,TINY,pig/scc-sdsm/aggregate/25
NoSCCBefore,CIRCLE,derby/scc-sdsm/aggregate/135
NoSCCBefore,CIRCLE,derby/scc-sdsm/aggregate/61
TINY,STAR,derby/scc-sdsm/aggregate/95
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/132
CLIQUE,OTHER,derby/scc-sdsm/aggregate/59
STAR,OTHER,derby/scc-sdsm/aggregate/92
TINY,STAR,derby/scc-sdsm/aggregate/66
NoSCCBefore,STAR,derby/scc-sdsm/aggregate/104
NoSCCBefore,OTHER,derby/scc-sdsm/aggregate/50
OTHER,OTHER,derby/scc-sdsm/aggregate/68
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/103
NoSCCBefore,CIRCLE,derby/scc-sdsm/aggregate/57
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/32
OTHER,OTHER,derby/scc-sdsm/aggregate/35
TINY,STAR,derby/scc-sdsm/aggregate/102
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/69
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/56
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/105
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/51
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/58
CHAIN,CIRCLE,derby/scc-sdsm/aggregate/133
OTHER,OTHER,derby/scc-sdsm/aggregate/67
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/93
NoSCCBefore,OTHER,derby/scc-sdsm/aggregate/134
OTHER,OTHER,derby/scc-sdsm/aggregate/94
STAR,CHAIN,derby/scc-sdsm/aggregate/60
NoSCCBefore,STAR,derby/scc-sdsm/aggregate/34
CIRCLE,CIRCLE,derby/scc-sdsm/aggregate/33
TINY,STAR,derby/scc-sdsm/aggregate/20
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/18
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/27
STAR,OTHER,derby/scc-sdsm/aggregate/9
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/11
NoSCCBefore,STAR,derby/scc-sdsm/aggregate/7
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/29
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/16
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/129
CIRCLE,CIRCLE,derby/scc-sdsm/aggregate/42
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/89
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/116
NoSCCBefore,CIRCLE,derby/scc-sdsm/aggregate/45
STAR,STAR,derby/scc-sdsm/aggregate/111
OTHER,OTHER,derby/scc-sdsm/aggregate/73
CIRCLE,OTHER,derby/scc-sdsm/aggregate/118
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/87
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/127
TINY,STAR,derby/scc-sdsm/aggregate/80
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/74
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/120
CHAIN,OTHER,derby/scc-sdsm/aggregate/6
NoSCCBefore,STAR,derby/scc-sdsm/aggregate/28
NoSCCBefore,CIRCLE,derby/scc-sdsm/aggregate/17
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/1
TINY,STAR,derby/scc-sdsm/aggregate/10
STAR,OTHER,derby/scc-sdsm/aggregate/19
STAR,OTHER,derby/scc-sdsm/aggregate/26
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/8
TINY,CIRCLE,derby/scc-sdsm/aggregate/21
STAR,OTHER,derby/scc-sdsm/aggregate/75
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/81
NoSCCBefore,CIRCLE,derby/scc-sdsm/aggregate/121
OTHER,OTHER,derby/scc-sdsm/aggregate/119
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/86
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/72
STAR,STAR,derby/scc-sdsm/aggregate/126
CIRCLE,OTHER,derby/scc-sdsm/aggregate/44
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/110
OTHER,OTHER,derby/scc-sdsm/aggregate/43
CIRCLE,OTHER,derby/scc-sdsm/aggregate/128
TINY,STAR,derby/scc-sdsm/aggregate/88
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/117
STAR,OTHER,derby/scc-sdsm/aggregate/38
STAR,OTHER,derby/scc-sdsm/aggregate/36
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/31
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/131
TINY,STAR,derby/scc-sdsm/aggregate/91
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/65
TINY,STAR,derby/scc-sdsm/aggregate/62
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/96
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/109
NoSCCBefore,STAR,derby/scc-sdsm/aggregate/100
OTHER,OTHER,derby/scc-sdsm/aggregate/54
TINY,STAR,derby/scc-sdsm/aggregate/107
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/98
TINY,CHAIN,derby/scc-sdsm/aggregate/53
TINY,CHAIN,derby/scc-sdsm/aggregate/30
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/37
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/39
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/106
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/99
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/52
STAR,STAR,derby/scc-sdsm/aggregate/101
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/55
TINY,STAR,derby/scc-sdsm/aggregate/97
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/108
TINY,STAR,derby/scc-sdsm/aggregate/63
TINY,CIRCLE,derby/scc-sdsm/aggregate/130
STAR,OTHER,derby/scc-sdsm/aggregate/64
TINY,CIRCLE,derby/scc-sdsm/aggregate/90
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/46
CIRCLE,CIRCLE,derby/scc-sdsm/aggregate/79
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/112
STAR,OTHER,derby/scc-sdsm/aggregate/41
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/115
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/83
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/77
NoSCCBefore,CIRCLE,derby/scc-sdsm/aggregate/123
TINY,STAR,derby/scc-sdsm/aggregate/48
TINY,STAR,derby/scc-sdsm/aggregate/70
TINY,STAR,derby/scc-sdsm/aggregate/84
STAR,CIRCLE,derby/scc-sdsm/aggregate/124
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/24
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/23
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/4
NoSCCBefore,STAR,derby/scc-sdsm/aggregate/15
STAR,STAR,derby/scc-sdsm/aggregate/3
TINY,STAR,derby/scc-sdsm/aggregate/12
TINY,STAR,derby/scc-sdsm/aggregate/85
TINY,STAR,derby/scc-sdsm/aggregate/71
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/125
STAR,CIRCLE,derby/scc-sdsm/aggregate/76
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/82
CIRCLE,OTHER,derby/scc-sdsm/aggregate/49
CIRCLE,CIRCLE,derby/scc-sdsm/aggregate/122
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/40
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/114
TINY,CIRCLE,derby/scc-sdsm/aggregate/47
TINY,STAR,derby/scc-sdsm/aggregate/113
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/78
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/2
TINY,STAR,derby/scc-sdsm/aggregate/13
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/5
NoSCCBefore,TINY,derby/scc-sdsm/aggregate/14
NoSCCBefore,CIRCLE,derby/scc-sdsm/aggregate/22
STAR,CIRCLE,derby/scc-sdsm/aggregate/25
NoSCCBefore,STAR,commons-math/scc-sdsm/aggregate/32
TINY,STAR,commons-math/scc-sdsm/aggregate/35
TINY,OTHER,commons-math/scc-sdsm/aggregate/34
NoSCCBefore,TINY,commons-math/scc-sdsm/aggregate/33
NoSCCBefore,TINY,commons-math/scc-sdsm/aggregate/20
NoSCCBefore,TINY,commons-math/scc-sdsm/aggregate/18
NoSCCBefore,CIRCLE,commons-math/scc-sdsm/aggregate/27
NoSCCBefore,TINY,commons-math/scc-sdsm/aggregate/9
TINY,CIRCLE,commons-math/scc-sdsm/aggregate/11
NoSCCBefore,TINY,commons-math/scc-sdsm/aggregate/7
TINY,CIRCLE,commons-math/scc-sdsm/aggregate/29
NoSCCBefore,STAR,commons-math/scc-sdsm/aggregate/16
NoSCCBefore,TINY,commons-math/scc-sdsm/aggregate/6
NoSCCBefore,TINY,commons-math/scc-sdsm/aggregate/28
NoSCCBefore,STAR,commons-math/scc-sdsm/aggregate/17
NoSCCBefore,STAR,commons-math/scc-sdsm/aggregate/1
NoSCCBefore,TINY,commons-math/scc-sdsm/aggregate/10
NoSCCBefore,TINY,commons-math/scc-sdsm/aggregate/19
NoSCCBefore,CIRCLE,commons-math/scc-sdsm/aggregate/26
NoSCCBefore,STAR,commons-math/scc-sdsm/aggregate/8
NoSCCBefore,TINY,commons-math/scc-sdsm/aggregate/21
NoSCCBefore,TINY,commons-math/scc-sdsm/aggregate/36
NoSCCBefore,TINY,commons-math/scc-sdsm/aggregate/31
NoSCCBefore,TINY,commons-math/scc-sdsm/aggregate/30
NoSCCBefore,TINY,commons-math/scc-sdsm/aggregate/37
NoSCCBefore,TINY,commons-math/scc-sdsm/aggregate/24
NoSCCBefore,TINY,commons-math/scc-sdsm/aggregate/23
CIRCLE,OTHER,commons-math/scc-sdsm/aggregate/4
NoSCCBefore,CIRCLE,commons-math/scc-sdsm/aggregate/15
TINY,STAR,commons-math/scc-sdsm/aggregate/3
NoSCCBefore,CIRCLE,commons-math/scc-sdsm/aggregate/12
NoSCCBefore,TINY,commons-math/scc-sdsm/aggregate/2
NoSCCBefore,TINY,commons-math/scc-sdsm/aggregate/13
STAR,STAR,commons-math/scc-sdsm/aggregate/5
NoSCCBefore,TINY,commons-math/scc-sdsm/aggregate/14
NoSCCBefore,TINY,commons-math/scc-sdsm/aggregate/22
NoSCCBefore,CIRCLE,commons-math/scc-sdsm/aggregate/25
NoSCCBefore,TINY,commons-cli/scc-sdsm/aggregate/1
NoSCCBefore,TINY,commons-cli/scc-sdsm/aggregate/2
NoSCCBefore,TINY,avro/scc-sdsm/aggregate/20
TINY,CIRCLE,avro/scc-sdsm/aggregate/18
NoSCCBefore,CIRCLE,avro/scc-sdsm/aggregate/9
CIRCLE,CIRCLE,avro/scc-sdsm/aggregate/11
NoSCCBefore,STAR,avro/scc-sdsm/aggregate/7
NoSCCBefore,TINY,avro/scc-sdsm/aggregate/16
NoSCCBefore,TINY,avro/scc-sdsm/aggregate/6
NoSCCBefore,STAR,avro/scc-sdsm/aggregate/17
TINY,OTHER,avro/scc-sdsm/aggregate/1
STAR,CIRCLE,avro/scc-sdsm/aggregate/10
TINY,CIRCLE,avro/scc-sdsm/aggregate/19
NoSCCBefore,TINY,avro/scc-sdsm/aggregate/8
STAR,OTHER,avro/scc-sdsm/aggregate/21
NoSCCBefore,TINY,avro/scc-sdsm/aggregate/4
NoSCCBefore,TINY,avro/scc-sdsm/aggregate/15
NoSCCBefore,OTHER,avro/scc-sdsm/aggregate/3
NoSCCBefore,TINY,avro/scc-sdsm/aggregate/12
NoSCCBefore,TINY,avro/scc-sdsm/aggregate/2
NoSCCBefore,TINY,avro/scc-sdsm/aggregate/13
NoSCCBefore,TINY,avro/scc-sdsm/aggregate/5
NoSCCBefore,TINY,avro/scc-sdsm/aggregate/14
NoSCCBefore,STAR,ant/scc-sdsm/aggregate/61
OTHER,OTHER,ant/scc-sdsm/aggregate/95
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/59
NoSCCBefore,CIRCLE,ant/scc-sdsm/aggregate/92
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/66
CIRCLE,OTHER,ant/scc-sdsm/aggregate/104
STAR,STAR,ant/scc-sdsm/aggregate/50
NoSCCBefore,STAR,ant/scc-sdsm/aggregate/68
TINY,STAR,ant/scc-sdsm/aggregate/103
TINY,CIRCLE,ant/scc-sdsm/aggregate/57
TINY,CIRCLE,ant/scc-sdsm/aggregate/32
TINY,STAR,ant/scc-sdsm/aggregate/35
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/102
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/69
TINY,STAR,ant/scc-sdsm/aggregate/56
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/51
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/58
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/67
NoSCCBefore,CIRCLE,ant/scc-sdsm/aggregate/93
NoSCCBefore,STAR,ant/scc-sdsm/aggregate/94
TINY,STAR,ant/scc-sdsm/aggregate/60
TINY,CIRCLE,ant/scc-sdsm/aggregate/34
CIRCLE,CIRCLE,ant/scc-sdsm/aggregate/33
NoSCCBefore,OTHER,ant/scc-sdsm/aggregate/20
NoSCCBefore,OTHER,ant/scc-sdsm/aggregate/18
TINY,STAR,ant/scc-sdsm/aggregate/27
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/9
NoSCCBefore,CIRCLE,ant/scc-sdsm/aggregate/11
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/7
TINY,STAR,ant/scc-sdsm/aggregate/29
NoSCCBefore,STAR,ant/scc-sdsm/aggregate/16
TINY,STAR,ant/scc-sdsm/aggregate/42
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/89
TINY,CIRCLE,ant/scc-sdsm/aggregate/45
NoSCCBefore,STAR,ant/scc-sdsm/aggregate/73
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/87
NoSCCBefore,OTHER,ant/scc-sdsm/aggregate/80
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/74
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/6
STAR,OTHER,ant/scc-sdsm/aggregate/28
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/17
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/1
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/10
NoSCCBefore,STAR,ant/scc-sdsm/aggregate/19
NoSCCBefore,STAR,ant/scc-sdsm/aggregate/26
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/8
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/21
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/75
CIRCLE,OTHER,ant/scc-sdsm/aggregate/81
CIRCLE,CIRCLE,ant/scc-sdsm/aggregate/86
NoSCCBefore,STAR,ant/scc-sdsm/aggregate/72
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/44
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/43
STAR,STAR,ant/scc-sdsm/aggregate/88
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/38
NoSCCBefore,CIRCLE,ant/scc-sdsm/aggregate/36
NoSCCBefore,STAR,ant/scc-sdsm/aggregate/31
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/91
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/65
NoSCCBefore,CIRCLE,ant/scc-sdsm/aggregate/62
STAR,OTHER,ant/scc-sdsm/aggregate/96
CIRCLE,OTHER,ant/scc-sdsm/aggregate/100
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/54
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/98
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/53
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/30
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/37
TINY,STAR,ant/scc-sdsm/aggregate/39
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/99
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/52
NoSCCBefore,OTHER,ant/scc-sdsm/aggregate/101
OTHER,OTHER,ant/scc-sdsm/aggregate/55
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/97
NoSCCBefore,STAR,ant/scc-sdsm/aggregate/63
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/64
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/90
NoSCCBefore,CIRCLE,ant/scc-sdsm/aggregate/46
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/79
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/41
TINY,STAR,ant/scc-sdsm/aggregate/83
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/77
NoSCCBefore,CIRCLE,ant/scc-sdsm/aggregate/48
NoSCCBefore,STAR,ant/scc-sdsm/aggregate/70
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/84
NoSCCBefore,OTHER,ant/scc-sdsm/aggregate/24
OTHER,OTHER,ant/scc-sdsm/aggregate/23
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/4
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/15
NoSCCBefore,STAR,ant/scc-sdsm/aggregate/3
STAR,CIRCLE,ant/scc-sdsm/aggregate/12
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/85
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/71
NoSCCBefore,CIRCLE,ant/scc-sdsm/aggregate/76
NoSCCBefore,OTHER,ant/scc-sdsm/aggregate/82
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/49
CIRCLE,OTHER,ant/scc-sdsm/aggregate/40
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/47
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/78
NoSCCBefore,CIRCLE,ant/scc-sdsm/aggregate/2
TINY,STAR,ant/scc-sdsm/aggregate/13
NoSCCBefore,STAR,ant/scc-sdsm/aggregate/5
STAR,STAR,ant/scc-sdsm/aggregate/14
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/22
NoSCCBefore,TINY,ant/scc-sdsm/aggregate/25
TINY,CIRCLE,ambari/scc-sdsm/aggregate/135
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/61
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/95
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/132
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/59
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/92
NoSCCBefore,OTHER,ambari/scc-sdsm/aggregate/66
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/104
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/50
TINY,STAR,ambari/scc-sdsm/aggregate/68
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/103
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/57
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/168
NoSCCBefore,CIRCLE,ambari/scc-sdsm/aggregate/157
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/150
STAR,CIRCLE,ambari/scc-sdsm/aggregate/159
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/32
OTHER,OTHER,ambari/scc-sdsm/aggregate/166
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/192
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/35
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/195
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/161
TINY,CIRCLE,ambari/scc-sdsm/aggregate/102
TINY,STAR,ambari/scc-sdsm/aggregate/69
NoSCCBefore,CIRCLE,ambari/scc-sdsm/aggregate/56
TINY,STAR,ambari/scc-sdsm/aggregate/105
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/51
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/58
CIRCLE,OTHER,ambari/scc-sdsm/aggregate/133
STAR,STAR,ambari/scc-sdsm/aggregate/67
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/93
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/134
CIRCLE,OTHER,ambari/scc-sdsm/aggregate/94
TINY,CIRCLE,ambari/scc-sdsm/aggregate/60
NoSCCBefore,OTHER,ambari/scc-sdsm/aggregate/34
TINY,OTHER,ambari/scc-sdsm/aggregate/160
STAR,OTHER,ambari/scc-sdsm/aggregate/194
TINY,CIRCLE,ambari/scc-sdsm/aggregate/33
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/158
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/193
TINY,STAR,ambari/scc-sdsm/aggregate/167
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/151
NoSCCBefore,OTHER,ambari/scc-sdsm/aggregate/169
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/156
NoSCCBefore,CIRCLE,ambari/scc-sdsm/aggregate/216
NoSCCBefore,CIRCLE,ambari/scc-sdsm/aggregate/229
TINY,STAR,ambari/scc-sdsm/aggregate/211
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/227
CIRCLE,OTHER,ambari/scc-sdsm/aggregate/218
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/220
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/245
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/242
TINY,OTHER,ambari/scc-sdsm/aggregate/221
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/226
TINY,CIRCLE,ambari/scc-sdsm/aggregate/219
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/210
NoSCCBefore,OTHER,ambari/scc-sdsm/aggregate/217
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/228
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/243
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/244
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/250
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/235
NoSCCBefore,STAR,ambari/scc-sdsm/aggregate/232
STAR,CIRCLE,ambari/scc-sdsm/aggregate/204
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/203
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/251
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/202
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/205
TINY,OTHER,ambari/scc-sdsm/aggregate/233
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/234
TINY,STAR,ambari/scc-sdsm/aggregate/174
TINY,STAR,ambari/scc-sdsm/aggregate/180
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/20
OTHER,OTHER,ambari/scc-sdsm/aggregate/187
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/18
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/173
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/27
TINY,STAR,ambari/scc-sdsm/aggregate/9
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/145
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/11
TINY,CIRCLE,ambari/scc-sdsm/aggregate/142
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/7
TINY,CIRCLE,ambari/scc-sdsm/aggregate/29
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/16
NoSCCBefore,CIRCLE,ambari/scc-sdsm/aggregate/189
NoSCCBefore,OTHER,ambari/scc-sdsm/aggregate/129
NoSCCBefore,STAR,ambari/scc-sdsm/aggregate/42
NoSCCBefore,CIRCLE,ambari/scc-sdsm/aggregate/89
NoSCCBefore,CHAIN,ambari/scc-sdsm/aggregate/116
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/45
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/111
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/73
TINY,STAR,ambari/scc-sdsm/aggregate/118
TINY,OTHER,ambari/scc-sdsm/aggregate/87
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/127
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/80
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/74
TINY,STAR,ambari/scc-sdsm/aggregate/120
TINY,CIRCLE,ambari/scc-sdsm/aggregate/6
TINY,CIRCLE,ambari/scc-sdsm/aggregate/28
OTHER,OTHER,ambari/scc-sdsm/aggregate/143
NoSCCBefore,STAR,ambari/scc-sdsm/aggregate/17
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/188
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/144
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/1
OTHER,OTHER,ambari/scc-sdsm/aggregate/10
TINY,CIRCLE,ambari/scc-sdsm/aggregate/172
STAR,CIRCLE,ambari/scc-sdsm/aggregate/186
OTHER,OTHER,ambari/scc-sdsm/aggregate/19
NoSCCBefore,STAR,ambari/scc-sdsm/aggregate/26
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/8
TINY,STAR,ambari/scc-sdsm/aggregate/181
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/175
TINY,STAR,ambari/scc-sdsm/aggregate/21
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/75
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/81
NoSCCBefore,CIRCLE,ambari/scc-sdsm/aggregate/121
TINY,STAR,ambari/scc-sdsm/aggregate/119
TINY,STAR,ambari/scc-sdsm/aggregate/86
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/72
NoSCCBefore,CIRCLE,ambari/scc-sdsm/aggregate/126
TINY,STAR,ambari/scc-sdsm/aggregate/44
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/110
TINY,STAR,ambari/scc-sdsm/aggregate/43
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/128
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/88
NoSCCBefore,STAR,ambari/scc-sdsm/aggregate/117
NoSCCBefore,CIRCLE,ambari/scc-sdsm/aggregate/198
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/153
NoSCCBefore,CIRCLE,ambari/scc-sdsm/aggregate/38
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/154
TINY,OTHER,ambari/scc-sdsm/aggregate/36
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/196
NoSCCBefore,OTHER,ambari/scc-sdsm/aggregate/162
TINY,STAR,ambari/scc-sdsm/aggregate/31
STAR,OTHER,ambari/scc-sdsm/aggregate/165
NoSCCBefore,CIRCLE,ambari/scc-sdsm/aggregate/191
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/131
TINY,CIRCLE,ambari/scc-sdsm/aggregate/91
NoSCCBefore,STAR,ambari/scc-sdsm/aggregate/65
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/136
TINY,CHAIN,ambari/scc-sdsm/aggregate/62
NoSCCBefore,OTHER,ambari/scc-sdsm/aggregate/96
NoSCCBefore,STAR,ambari/scc-sdsm/aggregate/109
NoSCCBefore,TINY,ambari/scc-sdsm/aggregate/100
OTHER,OTHER,ambari/scc-sdsm/aggregate/54
CIRCLE,OTHER,ambari/scc-sdsm/aggregate/107
NoSCCBefore,STAR,ambari/scc-sdsm/aggregate/98
