Index,ExistDependNew,NewDependExist,NewCycle,DeleteDependExist,ExistDependDelete,DeleteCycle,0to1,0to2,1to0,1toRevert1,1to2,2to1,2to0
1-49a7e2821606e2c445d4081dbb946e693f842505,0,0,1,0,1,1,0,0,0,0,0,0,0
1-16b8b836e445b314f66621a0ee6d0af4235921d6,0,1,1,0,1,1,0,0,0,0,0,0,0
