Index,ExistDependNew,NewDependExist,NewCycle,DeleteDependExist,ExistDependDelete,DeleteCycle,0to1,0to2,1to0,1toRevert1,1to2,2to1,2to0
1-0d65a2298a2ed6999275025180116448c36b2ca6,0,0,0,1,0,1,0,0,0,0,0,0,0
1-208fc6e27997080bea95ed37815fb69dd6dd9d81,0,0,0,1,0,1,0,0,0,0,0,0,0
1-80921b3e2a7aa06686ffabe887c3fbdda392871b,1,0,1,1,0,1,0,0,0,0,0,0,0
1-6b9b6c57734c4917394d0e256e745d69b61b5517,0,0,0,0,0,0,0,0,0,0,0,1,0
1-f16c777b234488d714b59b1cf6031e2165dfc322,0,0,0,0,0,1,0,0,0,0,0,0,0
1-10ced26c2125642b88df1702ceddf64088bf1257,0,0,1,0,0,1,0,0,0,0,0,0,0
1-c0502b070b5c2a76dec812fd7a15afeab0ed3a6b,0,0,1,0,0,1,0,0,0,0,0,0,0
1-36280df23e07ec4a062353f20866649559143d9c,0,0,0,0,0,0,0,0,0,0,0,1,0
1-c42bc2fa5db3c4d3ae5112bbd5a2c52032978f81,0,0,1,0,0,1,0,0,0,0,0,0,0
